\fixlen = T
|set|TIME        |PDCSAP_FLUX  |
|int|double      |double       |
 1   131.8191100  2.4425070e+05 
 1   131.8395445  2.4423894e+05 
 1   131.8599791  2.4421564e+05 
 1   131.8804138  2.4424519e+05 
 1   131.9008484  2.4423462e+05 
 1   131.9212830  2.4424255e+05 
 1   131.9417176  2.4425420e+05 
 1   131.9621522  2.4426319e+05 
 1   131.9825868  2.4424553e+05 
 1   132.0030214  2.4430164e+05 
 1   132.0234559  2.4426978e+05 
 1   132.0438906  2.4428959e+05 
 1   132.0643252  2.4432786e+05 
 1   132.0847597  2.4434111e+05 
 1   132.1051943  2.4440698e+05 
 1   132.1256290  2.4433055e+05 
 1   132.1460635  2.4432392e+05 
 1   132.1664981  2.4432495e+05 
 1   132.1869329  2.4432603e+05 
 1   132.2073675  2.4437750e+05 
 1   132.2278020  2.4433542e+05 
 1   132.2482366  2.4430152e+05 
 1   132.2686713  2.4431414e+05 
 1   132.2891058  2.4425848e+05 
 1   132.3095404  2.4432511e+05 
 1   132.3299751  2.4431973e+05 
 1   132.3504096  2.4427844e+05 
 1   132.3708442  2.4427180e+05 
 1   132.3912788  2.4421086e+05 
 1   132.4117134  2.4426105e+05 
 1   132.4321480  2.4422912e+05 
 1   132.4525826  2.4424981e+05 
 1   132.4730173  2.4426644e+05 
 1   132.4934518  2.4433791e+05 
 1   132.5138864  2.4434459e+05 
 1   132.5343209  2.4437205e+05 
 1   132.5547556  2.4430355e+05 
 1   132.5751902  2.4439102e+05 
 1   132.5956247  2.4430756e+05 
 1   132.6160594  2.4434109e+05 
 1   132.6364940  2.4438669e+05 
 1   132.6569287  2.4434261e+05 
 1   132.6773632  2.4438109e+05 
 1   132.6977979  2.4433562e+05 
 1   132.7182325  2.4433825e+05 
 1   132.7386670  2.4436102e+05 
 1   132.7591017  2.4431216e+05 
 1   132.7795363  2.4432500e+05 
 1   132.7999708  2.4431872e+05 
 1   132.8204054  2.4429834e+05 
 1   132.8408401  2.4435130e+05 
 1   132.8612746  2.4430617e+05 
 1   132.8817092  2.4433752e+05 
 1   132.9021439  2.4430802e+05 
 1   132.9225784  2.4431231e+05 
 1   132.9430130  2.4434019e+05 
 1   132.9634476  2.4435577e+05 
 1   132.9838823  2.4438183e+05 
 1   133.0043168  2.4435088e+05 
 1   133.0247514  2.4433005e+05 
 1   133.0451860  2.4438695e+05 
 1   133.0656206  2.4436230e+05 
 1   133.0860552  2.4434217e+05 
 1   133.1064898  2.4437934e+05 
 1   133.1269244  2.4437481e+05 
 1   133.1473590  2.4440469e+05 
 1   133.1677936  2.4434917e+05 
 1   133.1882282  2.4436455e+05 
 1   133.2086629  2.4437125e+05 
 1   133.2290974  2.4435936e+05 
 1   133.2495320  2.4430638e+05 
 1   133.2699666  2.4429320e+05 
 1   133.2904012  2.4426309e+05 
 1   133.3108358  2.4424686e+05 
 1   133.3312703  2.4423561e+05 
 1   133.3517050  2.4425450e+05 
 1   133.3721396  2.4427500e+05 
 1   133.3925742  2.4429175e+05 
 1   133.4130088  2.4436956e+05 
 1   133.4334434  2.4437380e+05 
 1   133.4538780  2.4439155e+05 
 1   133.4743125  2.4439584e+05 
 1   133.4947472  2.4435616e+05 
 1   133.5151818  2.4442666e+05 
 1   133.5356163  2.4435534e+05 
 1   133.5560510  2.4432341e+05 
 1   133.5764856  2.4432109e+05 
 1   133.5969201  2.4436436e+05 
 1   133.6173547  2.4439781e+05 
 1   133.6377894  2.4437145e+05 
 1   133.6582240  2.4433981e+05 
 1   133.6786585  2.4436958e+05 
 1   133.6990932  2.4438009e+05 
 1   133.7195278  2.4437841e+05 
 1   133.7399623  2.4443705e+05 
 1   133.7603969  2.4432844e+05 
 1   133.7808316  2.4436973e+05 
 1   133.8012661  2.4428856e+05 
 1   133.8217007  2.4429302e+05 
 1   133.8421353  2.4434770e+05 
 1   133.8625699  2.4429264e+05 
 1   133.8830045  2.4435102e+05 
 1   133.9034391  2.4438166e+05 
 1   133.9238737  2.4440892e+05 
 1   133.9443082  2.4443811e+05 
 1   133.9647428  2.4436931e+05 
 1   133.9851773  2.4441031e+05 
 1   134.0056120  2.4438495e+05 
 1   134.0260466  2.4440795e+05 
 1   134.0464811  2.4439652e+05 
 1   134.0669158  2.4434512e+05 
 1   134.0873504  2.4442400e+05 
 1   134.1077849  2.4439253e+05 
 1   134.1282195  2.4437714e+05 
 1   134.1486542  2.4441517e+05 
