kepid,kepoi_name,koi_disposition,koi_period,koi_time0bk
7678434,"K00892.02","CONFIRMED",3.96996298,137.75447
7685981,"K00893.01","CONFIRMED",4.40841331,172.18582
7708215,"K00894.01","FALSE POSITIVE",7.9426176,174.52563
7373451,"K00881.02","CONFIRMED",226.8904775,207.35971
7377033,"K00882.01","FALSE POSITIVE",1.956811408,170.694208
7380537,"K00883.01","CANDIDATE",2.688899233,170.1020904
7434875,"K00884.01","CONFIRMED",9.439459486,177.186096
8349582,"K00122.01","CONFIRMED",11.523067458,131.969055
7434875,"K00884.02","CONFIRMED",20.47748843,178.66786
7434875,"K00884.03","CONFIRMED",3.336123113,135.31623
7455287,"K00886.01","CONFIRMED",8.01078456,170.20739
7455287,"K00886.02","CONFIRMED",12.07134205,143.45948
7455287,"K00886.03","CONFIRMED",20.99587872,152.31554
7458762,"K00887.01","CONFIRMED",7.41113177,175.34754
7552344,"K00888.01","FALSE POSITIVE",1.000747038,169.974229
757450,"K00889.01","CONFIRMED",8.884922995,169.991686
7585481,"K00890.01","CONFIRMED",8.09888906,176.623731
7663691,"K00891.01","CONFIRMED",10.00653012,176.96898
5812701,"K00012.01","CONFIRMED",17.855221681,146.596466
8013419,"K00901.01","CANDIDATE",12.732624065,176.939054
8018547,"K00902.01","CANDIDATE",83.92494032,236.76334
8039892,"K00903.01","CONFIRMED",5.007316661,173.433997
8150320,"K00904.01","CONFIRMED",2.211116989,170.150139
8150320,"K00904.02","CONFIRMED",27.9541337,178.73791
11086270,"K00124.01","CONFIRMED",12.69104387,137.12594
7767559,"K00895.01","FALSE POSITIVE",4.409409243,171.89433
7825899,"K00896.01","CONFIRMED",16.23947096,175.569907
7825899,"K00896.02","CONFIRMED",6.308201629,174.047661
7849854,"K00897.01","CONFIRMED",2.052349884,169.890622
7870390,"K00898.01","CONFIRMED",9.7704486,175.71372
7870390,"K00898.02","CONFIRMED",5.169804269,172.63153
5094751,"K00123.02","CONFIRMED",21.22261195,137.57403
7870390,"K00898.03","CONFIRMED",20.09017037,147.97788
7907423,"K00899.01","CONFIRMED",7.11373257,174.32351
7907423,"K00899.02","CONFIRMED",3.306551643,134.37211
7907423,"K00899.03","CONFIRMED",15.36845737,147.38965
7938496,"K00900.01","CONFIRMED",13.81020318,172.33533
8490993,"K00911.01","CONFIRMED",4.093578461,171.00954
8490993,"K00911.02","CONFIRMED",105.145959,178.367
8505670,"K00912.01","CONFIRMED",10.8484518,171.80584
8505670,"K00912.02","CONFIRMED",6.66833241,137.43988
8544996,"K00913.01","CONFIRMED",4.082274889,169.6375652
8552202,"K00914.01","CANDIDATE",3.886655224,169.73814
8150320,"K00904.03","CONFIRMED",42.1406089,139.0604
8150320,"K00904.04","CONFIRMED",4.617490562,135.04909
8150320,"K00904.05","CONFIRMED",10.19849255,137.92067
8180063,"K00905.01","FALSE POSITIVE",5.795063956,172.697467
8226994,"K00906.01","CONFIRMED",7.15681552,174.13511
8226994,"K00906.02","CONFIRMED",17.64830851,133.54533
8226994,"K00906.03","CONFIRMED",4.14810719,133.3881
8247638,"K00907.01","CONFIRMED",16.51410989,176.11686
8247638,"K00907.02","CONFIRMED",30.1329298,190.38336
8247638,"K00907.03","CONFIRMED",4.79090809,136.31106
11086270,"K00124.02","CONFIRMED",31.71981013,142.82083
8247638,"K00907.04","CONFIRMED",99.6415962,198.68664
8255887,"K00908.01","CONFIRMED",4.708326451,171.446507
8256049,"K00909.01","FALSE POSITIVE",16.37198661,172.75926
8414716,"K00910.01","CONFIRMED",5.392026903,171.72707
9140402,"K00928.01","CANDIDATE",2.494170338,170.852848
9141746,"K00929.01","CONFIRMED",6.491682808,174.633553
9159275,"K00930.01","FALSE POSITIVE",3.044770796,172.01916
9166862,"K00931.01","CONFIRMED",3.855603916,170.6787843
9166870,"K00932.01","FALSE POSITIVE",3.855599139,170.67957
11449844,"K00125.01","CONFIRMED",38.47876629,151.852812
8605074,"K00915.01","FALSE POSITIVE",37.601661282,194.713383
8628973,"K00916.01","CONFIRMED",3.314947362,171.313058
8655354,"K00917.01","FALSE POSITIVE",6.71969089,173.35776
8672910,"K00918.01","CONFIRMED",39.6431552,206.596798
8686150,"K00919.01","FALSE POSITIVE",51.42598578,173.535933
8689031,"K00920.01","CONFIRMED",21.80451611,190.49737
8689373,"K00921.01","CONFIRMED",10.28194593,175.33988
8689373,"K00921.02","CONFIRMED",18.11993039,182.61535
8689373,"K00921.03","CONFIRMED",3.78402867,133.28133
8826878,"K00922.01","CONFIRMED",5.15448142,171.6389
5897826,"K00126.01","FALSE POSITIVE",33.80364366,202.259731
8883593,"K00923.01","CONFIRMED",5.743469797,174.898924
8951215,"K00924.01","CANDIDATE",39.4759093,173.31207
9016295,"K00925.01","FALSE POSITIVE",19.974485239,171.6300909
9077124,"K00926.01","CONFIRMED",3.166353562,170.966145
9097120,"K00927.01","FALSE POSITIVE",23.899634407,188.982797
9466668,"K00939.01","CONFIRMED",3.388012244,170.5336
9466668,"K00939.02","CONFIRMED",5.83909761,132.09261
9466668,"K00939.03","CONFIRMED",1.620467654,132.06388
9466668,"K00939.04","CONFIRMED",10.6816951,131.55082
9479273,"K00940.01","CONFIRMED",6.104849417,169.573477
8359498,"K00127.01","CONFIRMED",3.578780566,134.0304187
9171801,"K00933.01","FALSE POSITIVE",3.187067566,171.64976
9334289,"K00934.01","CONFIRMED",5.826657508,173.011411
9334289,"K00934.02","CONFIRMED",12.41216347,142.54039
9334289,"K00934.03","CONFIRMED",18.74649011,147.13074
9347899,"K00935.01","CONFIRMED",20.86021229,180.017757
9347899,"K00935.02","CONFIRMED",42.63427848,141.16954
9347899,"K00935.03","CONFIRMED",87.6476068,134.94222
9347899,"K00935.04","CANDIDATE",9.61731426,142.47479
9388479,"K00936.01","CONFIRMED",9.467821474,178.415842
9388479,"K00936.02","CONFIRMED",0.893040969,134.540342
11359879,"K00128.01","CONFIRMED",4.942783419,136.3294353
9406990,"K00937.01","CONFIRMED",20.83426731,176.58569
9415172,"K00938.01","CONFIRMED",9.94602357,171.70192
9415172,"K00938.02","CONFIRMED",1.04562195,133.91912
9415172,"K00938.03","CONFIRMED",5.71462396,132.63866
9904059,"K00145.01","FALSE POSITIVE",102.9641952,158.07473
3231341,"K01102.02","CONFIRMED",8.14515981,140.56811
3231341,"K01102.03","CONFIRMED",18.9985279,144.74157
3231341,"K01102.04","CONFIRMED",4.24439049,137.06643
2860866,"K01103.01","CANDIDATE",90.1240507,356.23415
7626506,"K00150.02","CONFIRMED",28.5742692,143.8315
10460629,"K01168.01","CANDIDATE",856.672115,228.44988
10319385,"K01169.01","CANDIDATE",0.689210173,133.28584
10482160,"K01170.01","CONFIRMED",7.34373964,137.29874
10485069,"K01171.01","FALSE POSITIVE",0.445277068,133.52312
3233043,"K00966.01","FALSE POSITIVE",0.379463865,170.2480164
6579806,"K00967.01","FALSE POSITIVE",9.88047978,173.608672
3560301,"K00968.01","FALSE POSITIVE",4.6484156,261.09395
4044005,"K00969.01","FALSE POSITIVE",17.512014768,174.282592
11502218,"K00970.01","CANDIDATE",3.9886021,171.01852
11180361,"K00971.01","CANDIDATE",0.533059312,171.2274419
5802246,"K01044.01","FALSE POSITIVE",0.525154153,133.744359
6066403,"K01045.01","FALSE POSITIVE",1.303861044,134.212059
6209637,"K01046.01","FALSE POSITIVE",0.73452496,133.43108
5988031,"K01047.01","FALSE POSITIVE",2.55549176,134.50078
7684873,"K00014.01","FALSE POSITIVE",2.947376671,171.522978
8559644,"K00139.01","CONFIRMED",224.7789355,142.095338
2851100,"K01104.01","FALSE POSITIVE",0.890110752,133.2647
3130300,"K01105.01","FALSE POSITIVE",5.76573396,133.30941
3240158,"K01106.01","CONFIRMED",7.42608123,139.90039
3240158,"K01106.02","CONFIRMED",15.9868932,137.5964
3228959,"K01107.01","FALSE POSITIVE",0.73094589,133.68876
3218908,"K01108.01","CONFIRMED",18.92537246,149.49558
10341913,"K01172.01","FALSE POSITIVE",0.933749106,134.31831
10480921,"K01173.01","FALSE POSITIVE",2.037440623,133.59962
10287723,"K01174.01","CANDIDATE",129995.7784,393.59962
10350571,"K01175.01","CONFIRMED",31.5925809,142.9649
10350571,"K01175.02","CONFIRMED",17.157236,133.68951
3749365,"K01176.01","CONFIRMED",1.97376085,178.6894194
11013201,"K00972.01","CANDIDATE",13.118962443,261.539434
11673674,"K00133.01","FALSE POSITIVE",4.618767792,133.386535
11013201,"K00972.02","CANDIDATE",7.82187328,123.49907
9414417,"K00974.01","CANDIDATE",53.5057611,172.98304
3632418,"K00975.01","CONFIRMED",2.785821236,260.83731
3441784,"K00976.01","FALSE POSITIVE",52.56901867,184.971267
5820218,"K01048.01","FALSE POSITIVE",3.411758679,133.18086
5876368,"K01049.01","FALSE POSITIVE",0.525426427,133.187901
5809890,"K01050.01","CONFIRMED",1.269091415,133.343682
5809890,"K01050.02","CONFIRMED",2.853133997,133.79678
6131236,"K01051.01","CONFIRMED",6.79685353,138.11324
9048161,"K00146.01","FALSE POSITIVE",8.667822346,137.341841
3218908,"K01108.02","CONFIRMED",1.475323222,131.83272
