,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Global_Importance
flux__index_mass_quantile__q_0.8,-0.038950946,0.087593175,0.011349083,-0.035564817,0.09275315,0.015821448,0.17104053,0.037476905,-0.004793441,-0.035562444,0.05309059
"flux__fft_coefficient__attr_""abs""__coeff_97",-0.06883178,-0.0053147967,0.051531278,-0.093563415,-3.5219302e-05,0.016887875,-0.074761644,0.04077894,-0.11498436,-0.06324462,0.052993394
"flux__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",-0.04997243,0.015863698,0.05166555,-0.099459715,0.0040334337,0.026556693,-0.077269904,0.061836477,-0.11501371,0.027137188,0.052880876
"flux__fft_coefficient__attr_""abs""__coeff_88",-0.085840315,-0.022320284,0.058211226,-0.10054377,0.0042321957,0.010533891,-0.05931831,0.032722376,-0.08840846,-0.06524727,0.05273781
flux__kurtosis,-0.021550855,-0.058964312,-0.087734066,-0.046226762,0.06947824,0.096781194,0.0015518252,0.010499739,0.048106927,-0.085836716,0.052673064
flux__quantile__q_0.9,-0.055930633,0.10790368,0.029474521,-0.02360334,-0.042193007,-0.077972755,-0.004207928,0.028264586,0.054791108,0.1007636,0.05251052
"flux__fft_coefficient__attr_""real""__coeff_3",-0.06382413,0.1340951,-0.006025316,-0.03221375,0.019374192,0.10151511,0.10215507,-0.025318455,-0.018129045,0.021783065,0.052443318
"flux__fft_coefficient__attr_""abs""__coeff_98",-0.06798969,-0.0050209425,0.04670723,-0.09177456,-0.0024912301,0.02903784,-0.055849563,0.03874725,-0.11470073,-0.071360655,0.052367967
flux__energy_ratio_by_chunks__num_segments_10__segment_focus_9,-0.0103701465,0.015684556,0.013013946,-0.04859026,0.056769952,0.014582699,0.23156528,0.052771628,-0.062078763,-0.01760825,0.052303545
flux__number_cwt_peaks__n_1,0.002631692,0.024623597,0.1713712,0.106428124,0.027045013,0.06106739,0.025161333,-0.0010699484,0.011171043,-0.08894699,0.051951636
"flux__fft_coefficient__attr_""abs""__coeff_45",-0.08354373,-0.059020963,0.013738497,0.019996874,0.018183507,-0.017496536,0.032083947,-0.09790798,-0.09318752,0.08302101,0.051818054
flux__absolute_maximum,-0.053491917,0.07294157,0.031472635,-0.031041367,-0.0376213,-0.07019075,-0.010283037,0.052704256,0.053565405,0.10357201,0.05168842
"flux__fft_coefficient__attr_""imag""__coeff_12",0.026015168,-0.0077226097,0.027038699,-0.06930873,0.11913815,-0.09753751,0.012106301,-0.08648311,-0.04350736,-0.027322464,0.05161801
flux__energy_ratio_by_chunks__num_segments_10__segment_focus_1,-0.04756282,0.13506486,-0.0030598259,-0.040900398,-0.0055781715,0.092655815,-0.0287231,-0.13167746,0.014934761,0.015657926,0.051581513
"flux__fft_coefficient__attr_""abs""__coeff_11",-0.08814641,0.050525248,-0.037859682,0.08384304,-0.025096143,0.044622634,0.021279924,0.099638075,-0.035652228,-0.026350673,0.0513014
