time,flux
124.66710998969211,0.99967426
124.68754472707224,0.9998814
124.70797936421877,0.99989665
124.72841390135727,0.9993777
124.74884863850457,0.99950963
124.769283275411,1.0
124.78971781232394,1.0006281
124.81015244923765,1.0007259
124.8305871860357,1.0007458
124.85102172270854,1.0009037
124.87145635938941,1.0010896
124.89189099583746,1.0011921
124.9123257323954,1.0012137
124.93276026872627,1.0013385
124.9531949050579,1.0015142
124.97362964138301,1.0016085
124.99406417759747,1.0015471
125.01449881369626,1.0017769
125.03493334967061,1.0017892
125.05536808565375,1.0019598
125.09623735737841,1.001955
125.11667199312797,1.0021846
125.1371066287611,1.0020127
125.15754126427055,1.0022013
125.17797579978651,1.0022115
125.19841053530399,1.0022165
125.21884517058061,1.0024263
125.23927970586374,1.0024091
125.25971444114839,1.0024542
125.28014907619217,1.0026187
125.30058361124247,1.0025346
125.32101824629353,1.0027087
125.34145298110525,1.0025822
125.36188751592272,1.0026258
125.38232215074095,1.0026635
125.40275688543625,1.002654
125.42319152002165,1.0026714
125.44362605448987,1.0028147
125.46406068895158,1.0027794
125.4844954233049,1.0027786
125.50492995765671,1.0027939
125.52536459188559,1.0029196
125.54579932600609,1.0029845
125.56623386000865,1.0030472
125.5866684940047,1.002947
125.6071031278916,1.0030038
125.6275377616621,1.0030324
125.64797249542607,1.0030831
125.66840702907939,1.0030487
125.68884176273423,1.0031136
125.7092763961482,1.0029963
125.72971092956868,1.0031598
125.75014556298993,1.0031848
125.77058029617183,1.0031519
125.79101482935948,1.0031404
125.8114494625479,1.0031967
125.83188419549697,1.0030559
125.85231872845179,1.0031916
125.87275336140738,1.003201
125.89318799412285,1.0032132
125.91362262684561,1.0031804
125.93405725945195,1.0031184
125.95449189205101,1.0031147
125.9749266245417,1.003058
125.99536115691444,1.0031191
126.01579578916426,1.0031499
126.03623032142059,1.0030284
126.05666505356203,1.0031117
126.07709968557901,1.0030129
126.09753421760252,1.003042
126.11796894951112,1.0028929
126.13840358129528,1.0029784
126.15883821308671,1.0029666
126.17927274476096,1.002967
126.19970747631305,1.0030085
126.22014210787165,1.0028659
126.24057663919666,1.0028993
126.28144600184169,1.0027994
126.30188053305028,1.0026393
126.32231516413594,1.0026076
126.34274989511323,1.0025082
126.36318442608899,1.0025448
126.38361905694182,1.0025343
126.40405378768628,1.0024171
126.42448841831356,1.0022893
126.4449229489328,1.0023297
126.46535757944366,1.0022843
126.48579230983887,1.0022006
126.50622684022528,1.0022315
126.52666147050331,1.0020719
126.54709600066417,1.0021653
126.56753073081927,1.0020907
126.58796536074806,1.0021147
126.60839999067684,1.001744
126.62883462059835,1.0019108
126.64926925029431,1.0017632
126.66970387999027,1.0017477
126.69013840956904,1.00175
126.71057313914207,1.0017123
126.7310077686052,1.0016527
126.75144229782745,1.0016273
126.77187702717492,1.0016506
126.7923116562888,1.0016528
126.81274618540192,1.0015404
126.83318081439211,1.0015744
126.85361554339033,1.0015914
126.87405007214693,1.0015668
126.89448470091156,1.001628
126.91491942956054,1.0015188
126.93535405820148,1.001623
126.95578858661611,1.0017257
126.9762232150315,1.0016896
126.99665794332395,1.0017695
127.01709257162292,1.0015675
127.03752709980472,1.0016302
127.05796182786435,1.0018098
127.07839645581407,1.0017407
127.09883098364662,1.0019145
127.11926561147266,1.0019163
127.13970033919031,1.0018623
127.16013496690721,1.0018351
127.18056949438323,1.0018206
127.20100422186806,1.0019785
127.22143884923571,1.0020311
127.2418733764789,1.0019952
127.26230800373014,1.0021799
127.28274273086572,1.0022038
127.30317725787609,1.0020789
127.32361188477807,1.0022743
127.34404661168082,1.0021869
127.36448113834194,1.0022653
127.3849157650111,1.0023338
127.40535039168026,1.0023859
127.42578501810931,1.0024714
127.44621964454564,1.0023925
127.46665427086555,1.0025175
127.48708899706253,1.0026011
127.50752352326526,1.0027174
127.52795814923593,1.0027544
127.54839267520583,1.0027393
127.56882740116998,1.0029176
127.58926202690782,1.0029119
127.6505659037648,1.0031805
127.67100052914611,1.0034057
127.69143505453394,1.0034579
127.71186977980688,1.003462
127.73230440495536,1.0035803
127.75273892999394,1.003837
127.77317355503328,1.0037677
127.79360827983328,1.0038353
127.81404280463903,1.0038112
127.83447742932913,1.0038635
127.85491215401271,1.0039997
127.87534667858563,1.0039905
127.89578130292648,1.0041292
127.91621592738375,1.0042479
127.9366505516009,1.0042176
127.95708517570893,1.004292
127.97751979980967,1.004556
127.99795452380204,1.0046043
128.01838904767646,1.0045133
128.03882367155165,1.0044805
128.05925819518598,1.00458
128.0796929188291,1.0045499
128.10012754234776,1.0045418
128.1205621657573,1.0045384
128.14099678916682,1.0044581
128.16143141234352,1.0046371
128.18186603551294,1.0046026
128.20230055857246,1.0046315
128.22273528162623,1.0045915
128.24316990445368,1.0046402
128.26360442728037,1.0046668
128.28403914987575,1.0046415
128.3044737724631,1.0045239
128.32490829505696,1.0046759
128.36577763977402,1.0045063
128.3862122620194,1.004612
128.40664688414836,1.0045716
128.42708150615363,1.0044913
128.44751612816617,1.0044369
128.4679507499386,1.0044404
128.48838527171756,1.0043191
128.50881999338162,1.004255
128.5292546149285,1.0042738
128.54968913646735,1.0041474
128.57012385789858,1.0041338
128.59055847908894,1.0040126
128.61099300028582,1.0040367
128.63142762136704,1.0040504
128.65186234244902,1.0038519
128.67229696329014,1.0037261
128.69273148413777,1.0036805
128.71316620486323,1.0036242
128.7336008254788,1.0034567
128.75403534597717,1.0034555
128.77446996647632,1.0031458
128.81533920700167,1.0029684
128.8357738271443,1.0028079
128.8562084472942,1.002623
128.87664306721126,1.0025609
128.89707768701192,1.0023221
128.9175123068053,1.002102
128.93794692648953,1.0018816
128.95838154605008,1.0017557
128.97881616550148,1.0015438
128.99925068483572,1.0011669
129.01968540417147,1.0001483
129.04012002338277,0.999946
129.06055454248417,1.0001093
129.0809892614634,1.0004538
129.10142388033273,1.0003175
129.12185849908565,0.99998593
129.1422930178378,0.99979776
129.16272773635137,0.99957657
129.18316235487146,0.9991818
129.20359687327436,0.99917793
129.2240315915551,0.9988653
129.24446620984236,0.9985233
129.26490072789602,0.99854106
129.28533534594317,0.998234
129.30577006388194,0.99804103
129.32620458170277,0.99782556
129.34663919940067,0.9976126
129.3670739169902,0.99734193
129.38750843446178,0.9971493
129.40794305192685,0.997156
129.42837766928278,0.9968111
129.44881238651578,0.99649966
129.4692469035217,0.99631137
129.4896815206448,0.99611753
129.51011623753584,0.995769
129.53055075430166,0.9956173
129.5509853710755,0.9954517
129.57141998773295,0.9951429
129.59185460415029,0.9949401
129.6122892206913,0.99484986
129.6327238369995,0.99451435
129.653158453184,0.99439895
129.67359306925937,0.9941122
129.69402768533473,0.99395293
129.7144623012864,0.99361664
129.73489691701252,0.99346703
129.75533153273864,0.993302
129.77576614834106,0.9929806
129.79620086395153,0.99279255
129.81663537932764,0.99263024
129.83706999458082,0.99247426
129.85750460984127,0.99223036
129.8779392249853,0.99198586
129.89837384000566,0.99190104
129.91880845491687,0.99167585
129.93924306971167,0.9913688
129.95967768438277,0.99142045
129.98011229894473,0.99110615
130.00054681350593,0.99093556
130.02098152794497,0.99070764
130.0414161421577,0.9905816
130.06185065636964,0.99049354
130.08228527045867,0.99036163
130.10271998443932,0.9902285
130.12315449830203,0.9898126
130.14358911215822,0.9895867
130.16402382578963,0.98918116
130.18445843942027,0.98899394
130.20489295281004,0.98855376
130.22532756620785,0.9883208
130.24576227949,0.9890011
