phase,binned_flux,standardized_flux
0.5694889779559118,242272.765,0.9998296631924424
0.5713927855711423,242293.3,0.9999144085914294
0.5732965931863727,242277.36,0.9998486261877355
0.5752004008016032,242263.935,0.9997932228772216
0.5771042084168336,242276.20500000002,0.9998438596459371
0.5790080160320641,242244.77,0.9997141312983762
0.5809118236472945,242290.89,0.9999044628202312
0.582815631262525,242244.08,0.9997112837539252
0.5847194388777555,241308.21000000002,0.9958490642968935
0.5866232464929859,240342.61,0.9918641528159077
0.5885270541082164,240325.41499999998,0.9917931911828137
0.5904308617234468,240357.03,0.9919236623680575
0.5923346693386773,242196.69,0.9995157110995302
0.5942384769539077,242129.08,0.9992366930120928
0.5961422845691382,242158.48,0.9993580231669613
0.5980460921843687,240412.61,0.992153034137023
0.5999498997995991,241316.47,0.995883152292785
0.6018537074148296,242229.78,0.9996522694268973
0.6037575150300601,241317.485,0.9958873410719411
0.6056613226452906,242299.34,0.9999393349225657
0.6075651302605211,242274.61,0.9998372772786916
0.6094689378757515,242267.25,0.9998069034712145
0.611372745490982,240448.67,0.9923018492861577
0.6132765531062124,242299.5,0.9999399952227283
0.6151803607214429,242346.61,1.000134412351839
0.6170841683366733,241434.66499999998,0.9963709284034882
0.6189879759519038,240475.52,0.9924126559071855
0.6208917835671343,241403.73,0.9962432634939354
0.6227955911823647,242296.39,0.9999271606383188
0.6246993987975952,242338.03,1.000099003755622
0.6266032064128256,242344.31,1.0001249205370022
0.6285070140280561,242336.965,1.0000946086326652
0.6304108216432865,242366.25,1.000215464196792
0.632314629258517,242313.66,0.9999984317871139
0.6342184368737475,242335.36,1.0000879849966595
0.6361222444889779,242305.90000000002,0.9999664072292304
0.6380260521042084,242273.23,0.9998315821897897
0.6399298597194388,242276.64,0.999845654837004
0.6418336673346693,242246.95,0.999723127888091
0.6437374749498997,242291.065,0.9999051850235339
0.6456412825651302,243523.23,1.004990177209707
0.6475450901803607,242270.38,0.9998198205931443
0.6494488977955911,242960.96,1.0026697586322277
0.6513527054108216,242922.465,1.0025108945399943
0.653256513026052,242341.72,1.000114231928121
0.6551603206412825,243533.96000000002,1.0050344585893578
0.657064128256513,243559.5,1.0051398590028047
0.6589679358717434,243613.05,1.005360853213458
0.6608717434869739,243615.43,1.005370675178376
0.6627755511022043,242373.25,1.0002443523289033
0.6646793587174348,242328.58,1.0000600047772716
0.6665831663326653,243665.81,1.0055785871920586
0.6684869739478958,243666.25,1.0055804030175057
0.6703907815631263,242350.875,1.0001520134780468
0.6722945891783567,242356.53,1.000175350961917
0.6741983967935872,243721.96,1.0058103112803534
0.6761022044088176,242355.27,1.000170151098137
0.6780060120240481,243051.745,1.0030444170713344
0.6799098196392785,243020.45,1.0029152664864158
0.681813627254509,242328.64,1.0000602523898328
0.6837174348697395,242362.81,1.000201267743297
0.6856212424849699,242975.86,1.0027312490848652
0.6875250501002004,243641.44,1.0054780152235503
0.6894288577154308,242335.28,1.0000876548465785
0.6913326653306613,242229.7,0.9996519392768162
0.6932364729458917,242226.415,0.9996383824891039
0.6951402805611222,242196.92,0.9995166602810138
0.6970440881763527,242201.0,0.9995334979351588
0.6989478957915831,242259.67,0.9997756217510138
0.7008517034068136,242256.86,0.9997640252294088
0.702755511022044,242311.2,0.9999882796721148
0.7046593186372745,243611.235,1.005353362933489
0.706563126252505,243544.77,1.00507907011909
0.7084669338677354,243604.77500000002,1.0053267033144262
0.7103707414829659,243632.08,1.005439387664041
0.7122745490981963,242330.56,1.000068175991783
0.7141783567134268,242342.23,1.000116336634889
0.7160821643286572,243007.03000000003,1.002859883810282
0.7179859719438877,242391.14,1.0003181821408285
0.7198897795591181,242319.2,1.0000212946802423
0.7217935871743486,243012.61,1.0028829117784508
0.7236973947895791,243670.37,1.0055974057466912
0.7256012024048096,243694.55,1.0056971936087566
0.7275050100200401,243684.95,1.0056575755990036
0.7294088176352705,242996.12,1.002814859592948
0.731312625250501,243003.12,1.0028437477250596
0.7332164328657315,242990.35,1.0027910475183361
0.7351202404809619,242961.195,1.0026707284480916
0.7370240480961924,242323.84000000003,1.0000404433849561
0.7389278557114228,242236.67,0.9996807036026473
0.7408316633266533,242245.165,0.9997157614144025
0.7427354709418837,242325.2,1.0000460559363378
0.7446392785571142,243542.39,1.005069248154172
0.7465430861723447,243580.785,1.0052276995588039
0.7484468937875751,243544.14,1.0050764701872001
0.7503507014028056,244268.52,1.008065896635622
0.752254509018036,243549.33,1.0050978886737227
0.7541583166332665,242240.98,0.9996984904382759
0.756062124248497,243498.345,1.0048874799000502
0.7579659318637274,243538.78,1.0050543501317546
0.7598697394789579,242281.03,0.999863771822714
0.7617735470941883,243580.39,1.0052260694427777
0.7636773547094188,243581.98,1.005232631175643
0.7655811623246492,243622.8,1.0054010902546133
0.7674849699398797,243584.81,1.0052443102347681
0.7693887775551101,242271.04499999998,0.9998225649656949
0.7712925851703406,242375.36,1.000253060037297
0.7731963927855711,243679.86,1.0056365698000824
0.7751002004008015,244234.25,1.007924468594556
0.777004008016032,243934.28,1.0066865295960563
